Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mijn|opa|heeft----|twintig|duiven.,4.0,0,4,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|één|naam.,4.0,2,0,0
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin.,0,0,0,0
en|z-e-|---krijgen|elke|dag|granen,|zaden|en|peulvruchten|te|---e--ten.,en|z|en|ze|krijgen|elke|dag|granen-|zaden|en|peulvruchten|te|k|te|eten.,11.0,0,1,10
die|hebben|-------------------ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|---peil|te|kunnen|houden.,die|hebben|we|node|die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|de|peil|te|kunnen|houden.,22.0,0,0,22
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,0,0,0,0
eén|van|hen|is|de|postduif.,één|van|hun|is|de|postduif.,4.0,2,0,0
dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|--h-------uis|terugvindt.,dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|!th|naar|huis|terugvindt.,9.0,0,0,9
en|daar|heeft|die|dui-------f|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|die|duis|g|duif|geen|kompas|of|landkaart|voor|nodig.,7.0,0,0,7
hij|w------eet|de|weg|door|naar|de|zon|te|kijken!,hij|w|hij|weet|de|weg|door|naar|de|zon|te|kijken.,8.0,1,0,6
daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|---Grieken|gebruikt|om|berichten|te|versturen.,daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|de|Grieken|gebruikt|om|berichten|te|versturen.,3.0,0,0,3
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|----post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|mee|post----|te|vervoeren.,8.0,0,4,4
de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun|poo-----t.,de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun|poor|poot.,5.0,0,0,5
nu|zorgt|de|postbode|dat|je|---brief|in|de|juiste|bus|terechtkomt.,nu|zorgt|de|postbode|dat|je|de|brief|in|de|juiste|bus|terechtkomt.,3.0,0,0,3
toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|één|postduivenvereniging.,4.0,2,0,0
we|noemen|ze|duivenmelkers.,we|noemen|ze|duivenmelkers.,0,0,0,0
maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,0,0,0,0
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|----wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|een|wedstrijden.,4.0,0,0,4
als|je|duif|als|eerste|thuis-komt,|dan|heb|je|gewonnen.,als|je|duif|als|eerste|thuis|komt-|dan|heb|je|gewonnen.,2.0,0,1,1
en|dan|win|je|geld|of|een|andere|leuke|prijs!,en|dan|win|je|geld|of|een|andere|leuke|prijs.,2.0,1,0,0
