Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
er|is|een|cameraploeg|op|school|vandaag.,er|is|een|cameraploeg|op|school|vandaag.,0,0,0,0
dat|komt|omdat|het|de|----------------week|van|de|poëzie|is.,dat|komt|omdat|het|de|he|omdat|het|de|week|van|de|poëzie|is.,16.0,0,0,16
elk|kind|uit|onze|klas|schreef|daarom|een|gedicht.,elk|kind|uit|onze|klas|schreef|daarom|een|gedicht.,0,0,0,0
en|er|is|één|gedicht|dat|wint.,en|er|is|een|gedicht|dat|wint.,4.0,2,0,0
in|onze|klas|is|e--e-n|-------man|druk|bezig.,in|onze|klas|is|er|een|is|een|man|druk|bezig.,10.0,0,0,10
hij|heeft|een|grote|lamp|bij|zich.,hij|heeft|een|grote|lamp|bij|zich.,0,0,0,0
er|komt|nog|iemand|binnen|met|een|luidspreker.,er|komt|nog|iemand|binnen|met|een|luidspreker.,0,0,0,0
hij|zet|he-m|op|het|bureau|van|de|juf.,hij|zet|--'m|op|het|bureau|van|de|juf.,3.0,0,2,1
dan|gaat|de|lamp|aan.,dan|gaat|de|lamp|aan.,0,0,0,0
de|reporter|vertelt|over|de|week|van|de|poëzie.,de|reporter|vertelt|over|de|week|van|de|poëzie.,0,0,0,0
hij|zegt|dat|één|gedicht|uitkiezen|moeilijk|was.,hij|zegt|dat|een|gedicht|uitkiezen|moeilijk|was.,4.0,2,0,0
toch|is|er|slechts|één|winnaar.,toch|is|er|slechts|één|winnaar.,0,0,0,0
het|gedicht|dat|wint,|is|dat|van|Liesbet-.,het|gedicht|dat|wint-|is|dat|van|Liesbeth.,2.0,0,1,1
de|hele|klas|klapt|voor|haar.,de|hele|klas|klapt|voor|haar.,0,0,0,0
ze|wordt|een|beetje|rood.,ze|wordt|een|beetje|rood.,0,0,0,0
voor|de|camera|leest|ze|haar|gedicht|aan|ons|voor.,voor|de|camera|leest|ze|haar|gedicht|aan|ons|voor.,0,0,0,0
wanneer|ze|klaar|is,|klappen|we|opnieuw.,wanneer|ze|klaar|is-|klappen|we|opnieuw.,1.0,0,1,0
iedereen|staat|om|haar|heen.,iedereen|staat|om|haar|heen.,0,0,0,0
die|avond|kijken|we|naar|het|nieuws.,die|avond|kijken|we|naar|het|nieuws.,0,0,0,0
we|luisteren|hoe|Liesbet-|het|gedicht|voorleest.,we|luisteren|hoe|Liesbeth|het|gedicht|voorleest.,1.0,0,0,1
ze|spreekt|heel|mooi|en|haar|hoofd|lijkt|niet|zo|rood.,---spreekt|heel|mooi|en|haar|hooft|lijkt|niet|zo|rood.,5.0,1,3,0
wat|zijn|we|trots|op|haar!,wat|zijn|we|trots|op|haar.,2.0,1,0,0
