Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mijn|opa|heeft|wel|twintig|duiven.,0,0,0,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|een|naam.,0,0,0,0
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin.,0,0,0,0
en|ze|krijgen|elke|dag|granen,|zaden|en|peulvruchten|te|eten.,en|ze|krijgen|elke|dag|granen-|zaden|en|peulvruchten|te|eten.,1.0,0,1,0
die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temp-e--------ratuur|van|hun|lichaam|op|peil|te|kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|tempreta|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,9.0,0,0,9
opa|vertelde|me|dat|er|veel|so-orten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|z-warte-|duiven|bestaan-,8.0,2,3,1
eén|van|hen|is|de|postduif.,één|van|hen|is|de|postduif.,2.0,1,0,0
dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,dat|is|een|duif|die|een|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,0,0,0,0
en|daar|heeft|d----i-----e-|d---------------uif|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|de|duif...|en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,25.0,0,0,25
hij|weet|de|weg|door|naar|de|zon|te|kijken!,hij|weet|de|weg|door|naar|de|zon|te|kijken.,2.0,1,0,0
daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daarom|werden|ze|in|de|tijd|van---|--de|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,5.0,0,5,0
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,0,0,0,0
de|duiven|droegen|dan|----kleine|berichtjes|met|zich|mee|in|een|kokertje|aan----|-h--un|po--o----t-----------.,de|duiven|droegen|dan|een|klein-|berichtjes|met|zich|mee|in|een|kokertje|aan....|en|dan|kan|ik|het|niet|lezen.,39.0,5,1,28
nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terecht-komt.,nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terecht|komt.,1.0,0,0,1
toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereniging.,0,0,0,0
we|noemen|ze|duivenmelkers.,we|noemen|ze|duivenmelkers-,1.0,0,1,0
maar|ze|gebruiken|hun|duiven|alleen|nog|-----voor|d--------e--|---------sport.,maar|ze|gebruiken|hun|duiven|alleen|nog|maar|voor|sport|alleen|nog|voor|sport.,26.0,1,0,24
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,0,0,0,0
als|je|duif|als|eerste|thuis-komt,|dan|heb|je|gewonnen.,als|je|duif|als|eerste|thuis|komt-|dan|heb|je|gewonnen-,3.0,0,2,1
en|dan|win|je|geld|of|een|andere|leuke|prijs!,en|dan|win|je|geld|of|een|andere|leuke|prijs.,2.0,1,0,0
