Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mijn|opa|heeft|wel|twintig|duiven.,0,0,0,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|een|naam.,0,0,0,0
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|een|hok|in|de|tuin.,0,0,0,0
en|ze|krijgen|elke|dag|granen,|zaden|en|peulvruchten|te|eten.,---ze|krijgen|elke|dag|granen-|zaden|en|peulvruchten|te|eten.,4.0,0,4,0
die|hebben|ze|nodig|om|voldoende|energie|te|hebben-|en|om|de|temperatuur|van|hun|lichaam|op|peil--|te|kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben.|en|om---|temperatuur|-in|hun|lichaam|op|peilen|te|kunnen|houden.,9.0,1,4,3
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelt-|me|dat---|veel|soorten|duiven|bestaan.,6.0,1,4,0
eén|van|hen|is|de|postduif.,één|van|hen|is|de|postduif.,2.0,1,0,0
dat|is|een|duif|die|een|heel|grote|afstand--|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terug-vind-t.,dat|is|een|duif|di---e-|heel|grote|afstanden|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|--kan|vinden.,18.0,4,6,4
en|daar|heeft|die|duif|geen|k--ompas|of|landkaart|voor|nodig.,en|daar|heeft|die|duif|geen|k|kompas|of|landkaart|voor|nodig.,2.0,0,0,2
hij|weet|----de|weg|door|naar|de|zon|te|kijken!,hij|weet|ook|de|weg|door|naar|de|zon|te|kijken.,6.0,1,0,4
daarom|werden|ze---|-----------------in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|-----te|------------versturen.,daarom|werden|ze...|daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|door|te|stu|door|te|versturen.,37.0,0,0,37
toen|--------had|men|immers|nog|geen|auto|of|vliegtuig|om|---post|mee|te|vervoeren.,toen|de|toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|de|post|mee|te|vervoeren.,11.0,0,0,11
de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun|poot.,---duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan|hun|poot.,3.0,0,3,0
nu|zorgt|de|postbode|dat|je|brief|in|---de|juiste|bus|terecht-komt.,nu|zorgt|de|postbode|dat|de|brief|in|in|de|juiste|bus|terecht|komt.,6.0,1,0,4
toch|zijn|----veel|mensen|in|Nederland|en|België|lid|van|e-en|postduivenvereniging.,toch|zijn|d'r|veel|mensen|in|Nederland|en|België|lid|van|-de-|postduivenvereniging.,7.0,0,2,5
we|noemen|ze|duivenmelkers.,we|noemen|ze|duivenmelkers.,0,0,0,0
maar|ze|g--ebruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|g|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,2.0,0,0,2
de|duiven|worden|goed|getraind|om|-----te|kunnen|meedoen|aan|wedstrijden.,---duiven|worden-----|getraind|om|goed|te|kunnen|meedoen|aan|wedstrijden.,13.0,0,8,5
als|je|dui--------------f|als|eerste|thuis-komt,|dan|heb|je|gewonnen.,als|je|duiven|als|je|duif|als|eerst-|thuis|komt-----|heb|je|gewonnen.,21.0,0,6,15
en|dan|win|je|geld|of|een|andere|leuke|prijs!,---dan|win|je|geld|of|een|andere|leuke|prijs.,5.0,1,3,0
