Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|-wel|twintig|duiven.,mijn|opa|w-i-l|twin|twintig|duiven.,13.0,5,2,1
hij|-------geeft|ze|allemaal|een|naam.,hij|he|hij|geeft|ze|allemaal|één|naam.,11.0,2,0,7
ze|wonen|in|een|hok|in|de|tuin.,ze|wonen|in|één|hok|in|de|tuin.,4.0,2,0,0
en|ze|krijgen|elke|dag|granen,|zaden|en|pe----u-lvruchten|te|-e--ten.,en|ze|krijgen|elke|dag|granen-|zaden|en|puil|puilvruchten|te|te|eten.,11.0,1,1,8
die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|---------de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|te|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,9.0,0,0,9
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,0,0,0,0
eén|van|hen|is|de|postduif.,één|van|hen|is|de|postduif.,2.0,1,0,0
dat|is|een|duif|die|-ee------------n|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,dat|is|een|duif|die|heel|gro|die|één|heel|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|terugvindt.,13.0,0,0,13
en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|d-e|duif|geen|kompas|of|landkaart|voor|nodig.,1.0,0,1,0
hij|weet|de|weg|door|naar|de|zon|te|kijken!,hij|weet|de|weg|door|naar|de|zon|te|kijken.,2.0,1,0,0
daar-o-m|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daardoor|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,4.0,1,0,2
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|------post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|me|om|post|mee|te|vervoeren.,6.0,0,0,6
de|duiven|droegen|dan|kleine|berichtjes|-m-------et|---zich|me-e-|-in-|-e--e-n|kokertje|aan|hun|poot.,de|duiven|droegen|dan|kleine|berichtjes|om|zich|met|om|zich|he|om|zich|met|één|kokertje|aan|hun|poot.,27.0,4,0,19
nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terechtkomt.,nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terechtkomt.,0,0,0,0
toch|zijn|---veel|mensen|in|Nederland|en|België|lid|van|-e--en|----postduiven-vereniging.,toch|zijn|er|veel|mensen|in|Nederland|en|België|lid|van|de|van|één|postduiven|vereniging.,13.0,1,0,11
we|noemen|ze|------------------------d---uivenmelkers.,we|noemen|ze|pos|we|moe|we|noemen|ze|de|duivenmelkers.,27.0,0,0,27
maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|--------sport.,maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|voor|de|sport.,8.0,0,0,8
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|----wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|één|wedstrijd--.,6.0,0,2,4
als|je|duif|als|eerste|thuis-komt,|dan|heb|je|gewonnen.,als|je|duif|als|eerst-|thuis|komt-|dan|heb|je|gewonnen.,3.0,0,2,1
en|dan|win|je|geld|of|een|andere|leuke|prijs!,en|dan|win|je|geld|of|één|andere|leuke|prijs.,6.0,3,0,0
