Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
mijn|opa|heeft|wel|twintig|duiven.,mij-|opa|heeft|wel|twintig|duiven.,1.0,0,1,0
hij|geeft|ze|allemaal|een|naam.,hij|geeft|ze|allemaal|een|naam.,0,0,0,0
ze|wonen|in|-een|hok|in|de|tuin.,ze|wonen|in|!een|hok|in|de|tuin.,1.0,0,0,1
en|ze|krijgen|elke|dag|granen,|zaden|en|peu-lvruchten-|te|eten.,en|ze|krijgen|elke|dag|granen-|zaden|en|p-uilvruchtenu|te|eten.,4.0,0,2,2
die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,die|hebben|ze|nodig|om|voldoende|energie|te|hebben|en|om|de|temperatuur|van|hun|lichaam|op|peil|te|kunnen|houden.,0,0,0,0
opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,opa|vertelde|me|dat|er|veel|soorten|duiven|bestaan.,0,0,0,0
eén|van|hen|is|d-e|postduif.,één|van|hen|is|die|postduif.,3.0,1,0,1
dat|is|een|duif|die|een|heel-|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|----terugvindt.,dat|is|een|duif|die|een|h-ele|grote|afstand|in|één|keer|kan|afleggen|en|gemakkelijk|de|weg|naar|huis|vin|terugvindt.,6.0,0,1,5
en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,en|daar|heeft|die|duif|geen|kompas|of|landkaart|voor|nodig.,0,0,0,0
hij|weet|de|weg|door|naar|de|zon|te|kijken!,hij|weet|de|weg|door|naar|de|zon|te|kijken.,2.0,1,0,0
daarom|werden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,daarom|worden|ze|in|de|tijd|van|de|oude|Romeinen|en|Grieken|gebruikt|om|berichten|te|versturen.,2.0,1,0,0
toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,toen|had|men|immers|nog|geen|auto|of|vliegtuig|om|post|mee|te|vervoeren.,0,0,0,0
de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan---|hun|-p--oot------.,de|duiven|droegen|dan|kleine|berichtjes|met|zich|mee|in|een|kokertje|aan...|kan|'t|niet|lezen.,22.0,5,0,12
nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terechtkomt.,nu|zorgt|de|postbode|dat|je|brief|in|de|juiste|bus|terechtkomt.,0,0,0,0
toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenvereni-g------i--ng.,toch|zijn|veel|mensen|in|Nederland|en|België|lid|van|een|postduivenverening|vereniging.,9.0,0,0,9
we|noemen|ze|duivenmelkers.,we|noemen|ze|duivenmelkers.,0,0,0,0
maar|ze|gebruiken|hun|duiven|alleen|nog|voor|de|sport.,maar|ze|gebruiken|hun|duiven|allee--n--|voor---|sport.,7.0,0,7,0
de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,de|duiven|worden|goed|getraind|om|te|kunnen|meedoen|aan|wedstrijden.,0,0,0,0
als|je|d----------uif|als|eerste-|thuiskomt,|----dan|heb|je|gewonnen.,als|je|de|als|je|duif|als|eerstes|thuiskomt-|heb|dan|heb|je|gewonnen.,16.0,0,1,15
en|dan|win|je|geld|of|een|andere|leuke|prijs!,---dan|win|je|geld|of|een|andere|leuke|prijs.,5.0,1,3,0
